POSTagPriority,TF,Head/URL
1,0.006993006993006993,1
1,0.02097902097902098,1
1,0.03496503496503497,1
1,0.013986013986013986,1
4,0.013986013986013986,1
1,0.02097902097902098,0
2,0.02097902097902098,1
3,0.013986013986013986,0
4,0.013986013986013986,0
4,0.013986013986013986,0
1,0.013986013986013986,0
3,0.013986013986013986,0
4,0.013986013986013986,0
1,0.027972027972027972,0
4,0.006993006993006993,0
4,0.013986013986013986,0
2,0.006993006993006993,0
2,0.006993006993006993,1
1,0.006993006993006993,1
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
3,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.013986013986013986,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
4,0.013986013986013986,0
1,0.02097902097902098,0
2,0.013986013986013986,0
2,0.013986013986013986,0
4,0.006993006993006993,0
1,0.006993006993006993,0
2,0.006993006993006993,0
1,0.013986013986013986,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
2,0.006993006993006993,1
1,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
4,0.006993006993006993,0
4,0.006993006993006993,0
1,0.006993006993006993,0
1,0.006993006993006993,0
